artifactToMarkAssignmentId,uuid,uri
99,['37c2b934-585c-45b8-8974-79bf9737d3dd'],https://ngk.wisski.cloud/contents/67b6418646d62
100,['37c2b934-585c-45b8-8974-79bf9737d3dd'],https://ngk.wisski.cloud/contents/67b641867a41a
101,['f41b03b2-d4d9-4cf5-9991-dfa74e00dbe5'],https://ngk.wisski.cloud/contents/67b64186ac56e
102,['f41b03b2-d4d9-4cf5-9991-dfa74e00dbe5'],https://ngk.wisski.cloud/contents/67b64186deef4
103,['11e9c123-f761-4e67-b1d1-897110e2759d'],https://ngk.wisski.cloud/contents/67b641871e6f4
104,['11e9c123-f761-4e67-b1d1-897110e2759d'],https://ngk.wisski.cloud/contents/67b641874f7ea
105,['22d7aaa7-faf5-4e05-b270-0339bad208b2'],https://ngk.wisski.cloud/contents/67b6418789287
106,['22d7aaa7-faf5-4e05-b270-0339bad208b2'],https://ngk.wisski.cloud/contents/67b64187bb285
107,['8bc467f6-7c6d-4ec3-b86b-47a0e3ae52a5'],https://ngk.wisski.cloud/contents/67b6418802c36
108,['8bc467f6-7c6d-4ec3-b86b-47a0e3ae52a5'],https://ngk.wisski.cloud/contents/67b641883852a
109,['2510d22e-6643-4e32-a703-e69e5baa1957'],https://ngk.wisski.cloud/contents/67b641886eec9
110,['2510d22e-6643-4e32-a703-e69e5baa1957'],https://ngk.wisski.cloud/contents/67b64188a498a
111,['2510d22e-6643-4e32-a703-e69e5baa1957'],https://ngk.wisski.cloud/contents/67b64188de66e
112,['6eeec1dc-4c58-4627-a738-43983eb315c3'],https://ngk.wisski.cloud/contents/67b641891fc64
113,['6eeec1dc-4c58-4627-a738-43983eb315c3'],https://ngk.wisski.cloud/contents/67b6418955b4c
114,['12cb0448-cf15-4baa-82af-9be3275c6c59'],https://ngk.wisski.cloud/contents/67b641898aa0b
115,['12cb0448-cf15-4baa-82af-9be3275c6c59'],https://ngk.wisski.cloud/contents/67b64189c1393
116,['f3937289-70ae-44c3-bc16-d920ac8d641f'],https://ngk.wisski.cloud/contents/67b64189f414e
117,['f3937289-70ae-44c3-bc16-d920ac8d641f'],https://ngk.wisski.cloud/contents/67b6418a354ee
118,['f3937289-70ae-44c3-bc16-d920ac8d641f'],https://ngk.wisski.cloud/contents/67b6418a69bb3
119,['a3ab3d6b-19c2-43cb-95cf-4134a2d559d8'],https://ngk.wisski.cloud/contents/67b6418a9fe08
120,['a3ab3d6b-19c2-43cb-95cf-4134a2d559d8'],https://ngk.wisski.cloud/contents/67b6418acf99f
121,['d5920408-da25-454b-8741-e07e7781602b'],https://ngk.wisski.cloud/contents/67b6418b0c96f
122,['d5920408-da25-454b-8741-e07e7781602b'],https://ngk.wisski.cloud/contents/67b6418b41227
123,['106c104e-c192-4d53-a901-3f88f2cf4d45'],https://ngk.wisski.cloud/contents/67b6418b7e471
124,['106c104e-c192-4d53-a901-3f88f2cf4d45'],https://ngk.wisski.cloud/contents/67b6418bb72ff
125,['812b38d5-0dac-4fc7-a1f0-e6ab626bea00'],https://ngk.wisski.cloud/contents/67b6418bedd81
126,['812b38d5-0dac-4fc7-a1f0-e6ab626bea00'],https://ngk.wisski.cloud/contents/67b6418c3361a
127,['81aaec81-b70a-4898-9330-2f870b6ae254'],https://ngk.wisski.cloud/contents/67b6418c74506
128,['81aaec81-b70a-4898-9330-2f870b6ae254'],https://ngk.wisski.cloud/contents/67b6418caa3c4
129,['eb683e83-e5bd-4bc0-b901-bbc0ee4ad58d'],https://ngk.wisski.cloud/contents/67b6418cdfd10
