artifactId,uuid,uri
obj01116,11e9c123-f761-4e67-b1d1-897110e2759d,https://ngk.wisski.cloud/contents/67b5e67b5734f
obj01649,22d7aaa7-faf5-4e05-b270-0339bad208b2,https://ngk.wisski.cloud/contents/67b5e67ccfea1
obj01905,8bc467f6-7c6d-4ec3-b86b-47a0e3ae52a5,https://ngk.wisski.cloud/contents/67b5e6840c901
obj01053,2510d22e-6643-4e32-a703-e69e5baa1957,https://ngk.wisski.cloud/contents/67b5e685eaeb9
obj01342,6eeec1dc-4c58-4627-a738-43983eb315c3,https://ngk.wisski.cloud/contents/67b5e6887cb58
obj01057,12cb0448-cf15-4baa-82af-9be3275c6c59,https://ngk.wisski.cloud/contents/67b5e68b55837
obj01377,f3937289-70ae-44c3-bc16-d920ac8d641f,https://ngk.wisski.cloud/contents/67b5e68e94b06
obj01787,a3ab3d6b-19c2-43cb-95cf-4134a2d559d8,https://ngk.wisski.cloud/contents/67b5e69078cea
obj01202,d5920408-da25-454b-8741-e07e7781602b,https://ngk.wisski.cloud/contents/67b5e694c3029
obj01952,106c104e-c192-4d53-a901-3f88f2cf4d45,https://ngk.wisski.cloud/contents/67b5e6962f237
obj01511,812b38d5-0dac-4fc7-a1f0-e6ab626bea00,https://ngk.wisski.cloud/contents/67b5e6984ee0d
obj01299,81aaec81-b70a-4898-9330-2f870b6ae254,https://ngk.wisski.cloud/contents/67b5e69a712ae
obj01518,eb683e83-e5bd-4bc0-b901-bbc0ee4ad58d,https://ngk.wisski.cloud/contents/67b5e69c2775c
obj01188,dacdfc9b-932e-4dbf-89f4-ba8515ac29a5,https://ngk.wisski.cloud/contents/67b5e69ea34a3
obj01914,56a4fbe0-c2dc-4f97-9ffb-56f6cb4a97d1,https://ngk.wisski.cloud/contents/67b5e6a04b02b
obj01374,195187a2-0f41-4e4e-887e-872972828717,https://ngk.wisski.cloud/contents/67b5e6a45fd89
obj01644,82d3d6d6-09e9-41be-8ac8-ddc1e66f17d1,https://ngk.wisski.cloud/contents/67b5e6a74b791
obj01234,f229c732-2b4a-443a-b9e5-c145e54cc66b,https://ngk.wisski.cloud/contents/67b5e6aca1155
obj01997,ae046399-588f-4620-90c3-47379798f599,https://ngk.wisski.cloud/contents/67b5e6af6ddb1
obj01208,afbfa550-7a85-4356-b8d8-c7fa6f92e564,https://ngk.wisski.cloud/contents/67b5e6b17b2f6
obj01941,110ae0f5-17b6-4a33-9f27-25e412d4de0f,https://ngk.wisski.cloud/contents/67b5e6b38229c
obj01682,7f31dee2-88cf-4a21-911d-18a8fa94bdb2,https://ngk.wisski.cloud/contents/67b5e6b58d044
obj01146,8e1a2638-5aa7-456e-8100-8157078ab14c,https://ngk.wisski.cloud/contents/67b5e6bac708c
obj01943,1a05d1d9-47fa-4ea2-aea9-b85745b253cb,https://ngk.wisski.cloud/contents/67b5e6bd5360a
obj01249,b25502c0-0efa-4161-9deb-31caed53f95c,https://ngk.wisski.cloud/contents/67b5e6c073109
obj01148,df6c9412-b413-431a-900a-55702492d9b9,https://ngk.wisski.cloud/contents/67b5e6c770cdd
obj01910,354619c9-25ac-4009-8098-259a65910837,https://ngk.wisski.cloud/contents/67b5e6c9805f4
obj01903,a871a595-f96d-4505-8ba3-10636d010837,https://ngk.wisski.cloud/contents/67b5e6ccd9a24
obj01803,e6e0f915-72b7-48db-bdb4-fbb455048ca1,https://ngk.wisski.cloud/contents/67b5e6ced14d5
obj01951,9eed46ed-036a-44e5-9138-83f50ed25c48,https://ngk.wisski.cloud/contents/67b5e6d0c8159
obj01924,deb56726-046d-40c7-8eb4-e51d54d793b6,https://ngk.wisski.cloud/contents/67b5e6d341864
obj01051,283490ed-f6de-4e74-ad2d-dc608baad525,https://ngk.wisski.cloud/contents/67b5e6d4e4585
obj01547,438f1a0d-dd61-49b4-a5ba-8b5dd092d638,https://ngk.wisski.cloud/contents/67b5e6d891a94
obj01163,af5eeb02-7ded-49d9-8853-2d72efd7b941,https://ngk.wisski.cloud/contents/67b5e6db0f246
obj01220,6a694288-e338-40ed-8a4f-cce7e6e6607c,https://ngk.wisski.cloud/contents/67b5e6dd91bce
obj01828,09ad3c10-d8ab-484d-a75d-b71c2abbde06,https://ngk.wisski.cloud/contents/67b5e6dfad965
obj01868,eebb30a6-450b-4f5c-9171-cb56753634ed,https://ngk.wisski.cloud/contents/67b5e6e243f76
obj01321,0801441f-0b78-4413-9307-a58a7a38a543,https://ngk.wisski.cloud/contents/67b5e6e4e08b1
obj01723,97db791b-53d1-4ea8-bc3c-88bb4fe85938,https://ngk.wisski.cloud/contents/67b5e6e7961d0
obj01356,aa1e525b-6b58-4530-95d7-c7f6b41b9694,https://ngk.wisski.cloud/contents/67b5e6e96d303
obj01541,b24e855f-d63a-4c67-a845-9393b3620724,https://ngk.wisski.cloud/contents/67b5e6ed8cc85
obj01271,ed1d6083-6c2f-47d1-a676-a66a6a68a39a,https://ngk.wisski.cloud/contents/67b5e6ef2b7e2
obj01462,88ac8eef-0295-403a-a4a4-eb224e5e32ba,https://ngk.wisski.cloud/contents/67b5e6fa423e2
obj01651,c17612b4-915a-4afb-ba5d-93dc76a723a6,https://ngk.wisski.cloud/contents/67b5e6fbd7159
obj01482,74a422b3-e639-41c8-9cb2-74b8cbe1843e,https://ngk.wisski.cloud/contents/67b5e6fd605be
obj01129,85f244c5-241d-4e93-a039-558eb8d44cd5,https://ngk.wisski.cloud/contents/67b5e6ff1ba75
obj01887,a131b0c2-b90c-41a6-8854-f1232c48c9d8,https://ngk.wisski.cloud/contents/67b5e7015f871
obj01813,ee247a0b-07bd-412a-ac4e-4a109482fdb7,https://ngk.wisski.cloud/contents/67b5e703f20e5
obj01829,2a9e0e6c-7edd-47f8-907f-c2d1c12ebf29,https://ngk.wisski.cloud/contents/67b5e705a3d6d
obj01591,2bb8bb4f-e6fa-4be4-95ca-9b822e185327,https://ngk.wisski.cloud/contents/67b5e7087e8de
obj01870,4481024a-4dd5-4208-9532-c9bdea2b6231,https://ngk.wisski.cloud/contents/67b5e70a724d8
obj01506,f89e4036-aec4-4aa8-ad38-6c17c99195f4,https://ngk.wisski.cloud/contents/67b5e70cdf797
